Rnd,Pick,Team,Player,First Year,Age Draft,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,DYAR,YAR,DVOA,VOA,EYds,DPI Pens,DPI Yds,Rec Pts First Season,Rec Pts/G First Season,Rec Pts Second Season,Rec Pts/G Second Season
3,90,TAM,M.Stovall,2006,21,9.0,2.0,13.0,7.0,53.8,102.0,14.6,0.0,4.0,27.0,7.8,0.8,11.3,7.0,6.0,-6.1,-6.5,94.0,0.0,0.0,10.2,1.1333333333333333,14.6,0.9733333333333332
1,2,DET,C.Johnson,2007,21,15.0,10.0,93.0,48.0,51.6,756.0,15.8,4.0,38.0,49.0,8.1,3.2,50.4,83.0,75.0,-1.2,-2.4,715.0,0.0,0.0,99.6,6.64,205.1,12.81875
1,9,MIA,T.Ginn,2007,22,16.0,9.0,71.0,34.0,47.9,420.0,12.4,2.0,18.0,54.0,5.9,2.1,26.3,-75.0,-72.0,-26.6,-26.1,326.0,0.0,0.0,54.0,3.375,91.0,5.6875
1,23,KAN,D.Bowe,2007,22,16.0,15.0,116.0,70.0,60.3,995.0,14.2,5.0,52.0,58.0,8.6,4.4,62.2,203.0,220.0,9.5,11.4,1043.0,1.0,11.0,129.5,8.09375,144.2,9.0125
1,30,LAC,C.Davis,2007,21,13.0,1.0,34.0,20.0,58.8,188.0,9.4,1.0,12.0,18.0,5.5,1.5,14.5,31.0,30.0,-1.5,-1.9,273.0,2.0,45.0,24.8,1.907692307692308,5.9,1.475
1,32,IND,A.Gonzalez,2007,22,13.0,9.0,51.0,37.0,72.5,576.0,15.6,3.0,27.0,57.0,11.3,2.8,44.3,238.0,235.0,43.2,42.5,698.0,3.0,53.0,75.6,5.815384615384616,90.4,5.65
2,44,MIN,S.Rice,2007,21,13.0,4.0,53.0,31.0,58.5,396.0,12.8,4.0,25.0,60.0,7.5,2.4,30.5,93.0,82.0,9.9,7.3,474.0,0.0,0.0,63.6,4.892307692307694,38.1,2.9307692307692315
2,45,CAR,D.Jarrett,2007,20,7.0,0.0,13.0,6.0,46.2,73.0,12.2,0.0,2.0,22.0,5.6,0.9,10.4,-33.0,-28.0,-48.6,-43.2,26.0,0.0,0.0,7.3,1.042857142857143,11.9,1.3222222222222222
2,51,NYG,S.Smith,2007,22,5.0,0.0,14.0,8.0,57.1,63.0,7.9,0.0,4.0,12.0,4.5,1.6,12.6,-5.0,-15.0,-16.8,-25.3,88.0,0.0,0.0,6.3,1.26,63.4,3.9625
3,73,HOU,J.Jones,2007,23,14.0,3.0,24.0,15.0,62.5,149.0,9.9,0.0,9.0,26.0,6.2,1.1,10.6,-12.0,-17.0,-19.1,-21.8,137.0,0.0,0.0,14.9,1.0642857142857145,8.1,0.50625
3,75,ATL,L.Robinson,2007,22,15.0,6.0,74.0,37.0,50.0,437.0,11.8,1.0,14.0,74.0,5.9,2.5,29.1,-101.0,-89.0,-30.0,-28.0,323.0,3.0,80.0,49.7,3.313333333333333,5.2,0.8666666666666667
3,78,GNB,J.Jones,2007,23,16.0,9.0,80.0,47.0,58.8,676.0,14.4,2.0,29.0,79.0,8.5,2.9,42.3,13.0,15.0,-10.7,-10.3,538.0,0.0,0.0,79.6,4.975,33.4,3.34
2,33,LAR,D.Avery,2008,24,15.0,12.0,102.0,53.0,52.0,674.0,12.7,3.0,29.0,69.0,6.6,3.5,44.9,-28.0,-2.0,-16.0,-12.9,641.0,3.0,35.0,85.4,5.6933333333333325,88.9,5.55625
2,34,WAS,D.Thomas,2008,21,16.0,1.0,27.0,15.0,55.6,120.0,8.0,0.0,7.0,18.0,4.4,0.9,7.5,-36.0,-48.0,-30.2,-36.0,115.0,0.0,0.0,12.0,0.75,50.5,3.6071428571428568
2,36,GNB,J.Nelson,2008,23,16.0,2.0,54.0,33.0,61.1,366.0,11.1,2.0,19.0,29.0,6.8,2.1,22.9,42.0,45.0,-2.2,-1.5,391.0,0.0,0.0,48.6,3.0375,44.0,3.3846153846153846
2,41,BUF,J.Hardy,2008,22,14.0,3.0,24.0,9.0,37.5,87.0,9.7,2.0,5.0,17.0,3.6,0.6,6.2,-41.0,-29.0,-37.6,-30.3,74.0,0.0,0.0,20.7,1.4785714285714284,0.9,0.45
